ID(非必填),縣市(必填),鄉鎮(必填),村里(可不填),鄰(可不填),地址(必填)
291,澎湖縣,馬公市,,,29號
292,澎湖縣,馬公市,,,中華路230號
293,澎湖縣,馬公市,,,新生路327號
294,高雄市,大樹區,,,17鄰中興西路50號
295,南投縣,名間鄉,,,彰南路42-2號三樓
296,南投縣,南投市,,,中正路2號
297,苗栗縣,三義鄉,,,廣聲新城88號
298,苗栗縣,三義鄉,,,廣聲新城88號
299,宜蘭縣,五結鄉,,,24鄰五濱路二段201號
300,宜蘭縣,五結鄉,,,24鄰五濱路二段201號
301,新北市,新莊區,,,中平路133號
302,臺中市,南區,,,興路三段362號
303,台北市,中山北,,,路4段16號
304,基隆市,中山區,,,西定路230號3樓
305,基隆市,中正區,,,
306,基隆市,中正區,,,信一路181號
307,澎湖縣,馬公市,,,中華路230號
308,澎湖縣,馬公市,,,中華路230號
309,臺北市,中正區,,,貴陽街1段243號
310,臺北市,中正區,,,貴陽街1段243號
311,臺北市,中正區,,,貴陽街1段243號
312,臺北市,中正區,,,貴陽街1段243號
313,臺北市,中正區,,,重慶南路一段122號
314,新北市,新店區,,,
315,新北市,中和區,,,
316,新北市,淡水區,,,
317,新北市,林口區,,,
318,新北市,三重區,,,
319,新北市,汐止區,,,
320,新北市,三峽區,,,
321,新北市,新莊區,,,
322,新北市,瑞芳區,,,
323,新北市,板橋區,,,中山路一段143號
324,新北市,板橋區,,,中山路一段143號
325,臺中市,北區,,,天祥街19號
326,臺中市,北區,,,天祥街19號
263,彰化縣,彰化市,,,中山路2段500號
264,彰化縣,彰化市,,,中山路2段500號
265,彰化縣,彰化市,,,中山路2段500號
266,彰化縣,彰化市,,,平和七街66號
267,彰化縣,彰化市,,,中山路三段266-1號
268,彰化縣,鹿港鎮,,,館前街88號
269,彰化縣,彰化市,,,陳稜路126號
270,高雄市,岡山區,,,公園路2-1號
271,彰化縣,彰化市,,,中正路1段242號4樓
272,彰化縣,彰化市,,,中華路57號
273,彰化縣,田中鎮,,,
274,彰化縣,埤頭鄉,,,彰水路二段526號
275,彰化縣,員林市,,,
276,彰化縣,溪湖鎮,,,
277,彰化縣,彰化市,,,民族一街31號
278,彰化縣,彰化市,,,南校街135號
279,彰化縣,彰化市,,,南校街135號
280,彰化縣,福興鄉,,,復興路28號
281,彰化縣,溪湖鎮,,,彰水路二段762號
282,彰化縣,溪湖鎮,,,彰水路二段762號
283,臺中市,西屯區,,,福星路666號
284,臺中市,西屯區,,,福星路666號
285,臺中市,西屯區,,,福星路666號
286,臺中市,西屯區,,,臺中市西屯區福玄路1號
287,臺中市,西屯區,,,臺中市西屯區福玄路1號
288,臺中市,西屯區,,,臺中市西屯區福玄路1號
289,新北市,新店區,,,北新路一段92號
290,澎湖縣,馬公市,,,介壽路13號
362,澎湖縣,馬公市,,,臨海路40號
363,澎湖縣,馬公市,,,中華路230號
364,新北市,淡水區,,,中正路259 號
365,新北市,淡水區,,,中正路316、316-1號
366,新北市,淡水區,,,中正路28巷1號
367,新北市,淡水區,,,中正路28巷1號
368,澎湖縣,馬公市,,,41-2號
369,基隆市,中正區,,,
370,南投縣,竹山鎮,,,大勇路 26 號
371,南投縣,竹山鎮,,,大勇路 26 號
372,南投縣,竹山鎮,,,大勇路 26 號
373,南投縣,竹山鎮,,,大勇路 26 號
374,南投縣,竹山鎮,,,大勇路 26 號
375,高雄市,林園區,,,林園北路236號
376,臺南市,白河區,,,
377,南投縣,南投市,,,彰南路二段65號
378,臺南市,中西區,,,開山路152號
379,高雄市,鳳山區,,,017鄰光遠路161號
380,臺北市,信義區,,,仁愛路4段505號
381,臺北市,中正區,,,襄陽路2號 ( 二二八和平公園內) )
382,高雄市,美濃區,,,6鄰中正路一段59號
383,臺北市,中正區,,,南昌路一段1號
384,臺北市,仁愛路,,,4段505號
327,嘉義縣,太保市,,,故宮大道888號
